0,oks kak semangat ya
1,kaya orang bodoh bodoh
2,umum lulus sujud syukur langsung ambil bunga hampir langsung peluk cium air mata tak kuasa bendung mom this is my birthday present for u
3,reformasi demokrasi negeri tapi nyata tidak aku lebih pimpin tidak ambil contoh nya generasi muda tolak
4,macet macet perut kosong mampir soto betawi at gki pamulang pic
5,nyata ganggu telinga malam dr mulut jubir perintah ali mochtar ngabalin perintah representasi tuhan muka bumi dekaden nalar demokrasi kalo pandang biar kuasa istana aja dg tua tuh
6,mas move on poto poto cerita nyobain face filter hengpong syanggih diajeng astri eka pertiwi gada orang gausah cari
7,balik cemburu selip kasih sayang yg dr cemburu dlm hubung tetapi dlm kadar yg wajar
8,kalo udah sayang beneran hadap cowok tajir ganteng pinter serba dll tetep ga pindah
9,pagi mas nyaa duhh gaenak dapet ucap met pagi netijen twitter wkwk btw jauh brp km nih alias darimana kota tinggal wkwk
10,efek pintu tol slip arah semanggi tutup macet parah polisi ngatur jagain jalur busway
11,shyok ya d rw yalah ka kali -- rw wkwk ganti klam
12,nonton tidak tiket nih hana hem malam sonichi bokuno taiyo nonton yu penasaran nih
13,sebenernya lo ngga suka happy hati lo tau bikin pasang lo bahagia romantis
14,bikin cake ulang hasil bagus yeye
15,pusing kana sirah na oge
16,orang tua gitu ya anak ada sayang banget juang mati anak walopun capek pulang kerja mas aja pulang nanyain kembang anak
17,romantis manis manis kalo dilakuin orang tg sayang neng bunga bunga wkwk ribu kupu kupu terbang yg dii perut kalo yg ngeromantisin gitu
18,lelah
19,ya gue jelasin gue sayang sahabat gue lu ngga percaya lu ngira gue tu cinta hei plis di-highlight sayang tu ga melulu cinta
20,mama takut putri manis jatuh luka tapi sadar papa biar tatap jaga kayuh sepeda seksama tau putri kecil
21,oalah iyanih dek promosi olahraga main skiping kak murah
22,kalo ngga paksa ngga gue busway gembel bleketek eek nih
23,kelas emerson gitu laku klo kerna kebencianya lupa klo yg diketawain junjung son songagal maning
24,ah sedih strong sel -adit
25,cowok ganteng pergi solat jumat selamat solat jumat my someone d
26,lumayan loh cuci
27,pakai pasar bayangkara pasar senggol pilih pakai syukur
28,gara gara ngopi trus dengerin lagu lagu jadul jaman sd kaya tangga ello andien audy trus skrg bikin playlist lagu yg angkat -
29,katherine sofia bener ngrasa capek bgt sma kerja minimal minggu bgt ngasi reward me time dg manja
30,kelas karna duduk bang gua langsung deg degan jatuh hati menit orang dulunya guaa freaky abis
31,amin mokasih yo enak selamat ulang da ade sukses d
32,asik kl ngomongin hasil perata bangun capai ekonomi banding ngomongin keburu calon belah keburu si gubernur a b
33,yg tolol didik kacung erti ibadah puasa tapi takut laparr rakyat milik nikmat tanah liang lahatnya
34,tidak suka orang sombong tanah hektar aset limpah saldo rekening digit itu rekening investasi dubai diam
35,pimpin sejati rt anesasembiring love you jokowi
36,tolong maksud bukti guna resi transaksi transaksi transaksi supplier tidak double resi
37,pa kbar sehat -
38,njir- -
39,biar sepi izin sama ikat yg restu semesta sayang paruh hati
40,mustinya biarin aja bom pas loe tidur lg rapat aja ledak jd gak rasa ya bro tau udah alam laen amp
41,masuk bulan mensive gua ttp msh aja gaada ramah perhati orang yg erti bat gak nuntut gua yg bikin gua sayang bat
42,aduh mentang cantik nilai kurang orang senak ya sombong mbak cantik milik tuhan
43,moga tayang film menit antara tebar benih cinta tumbuh saudara umat manusia ansormajusatubarisan
44,with the girlfriend maaf bang dipinjem si eneng i need my long overdue dose of lexyness dinnerdate
45,sakit mata baca naon ad salah dih cont
46,senyum ramah lohh fansnya angkuh rodo ngadoh piee ngono nek tak rasakne sumpah wagu mas polah
47,teman egois penghianat x
48,god morning sayang have a nice day ya
49,sayang akuu udah gede banget sih kamuu gak asa ya asa kemarin lahir skrg udah gede aja bawel banget
50,temen sma w nih hubung lg jomblo mkanya gangguin orang barangkali yg knalan bilang kemren klo cari pasang yg ngeetiin tugas hehew
51,yaudahlah indah bahagia
52,pasti qarin ehehe bismilah iyah rin optimis okeoeke d d
53,sesat bgt ajar teori sosial kasih angka rumus yg bikin gak nyaman jatuh orang tinggal kelas
54,tiada henti ny q ucap syukut alhmdllh skrg bsa uang panitia kmrn alhmdllh trmkah kau bri brlmpah mski tak sbrpa inysllh lma mmbukit amn
55,senang puas nya mumpung muda
56,kalah saing ibuk ni balas smsnya beut
57,hp apan sih aihaha hpe v ciye haha moga tular hp chandralan tidak mah hpe
58,hidup zaman presiden hebat soeharto beliau aman tenang masyarakat tetapi tidak tenang kaum pki kaum rampok kaum bandit kaum yg jabat negara tapi otak kosong kaum yg tidak suka soeharto
59,kepingin gudeg mbarek bu hj amad foto google sengaja biar teman jg bayang bagi indah
60,malu malu etika aspek hidup rakyat sanggah tunjuk yg lontar bersih tdk bersih
61,fix fly over keren abis at flyover summarecon bekas pic http tcolcrnrrsh
62,congratulations selamat mildawati raih new silver leader moga lancar sukses paytren
63,ulfahmatswal google play lumayan bagus koq
64,whahaha ya man ya hapy birthday ya pimpin gbynand atbfy - - - canda man
65,sedih si lnjut ko rom diam ah canda sedih
66,alhamdulillah listrik nyala kembalisaya warga takziah diam almarhum warga yg wafat terima kasih cc
