id,sentimen,tweet
1,1,oks kak semangat ya kalian kalian
2,0,sekarang harus kaya orang bodoh lagi bodoh sangat
3,1,"Begitu diumumkan lulus 100%, mereka semua sujud syukur, dan langsung mengambil bunga...saat dia menghampiri, langsung memeluk & menciumku, air mata tak kuasa kubendung....""mom, this is my birthday present for u.."" [URL]"
4,0,"[USERNAME] [USERNAME] Katanya Bapak Reformasi dan Demokrasi di Negeri kita ini, tapi kenyataannya sebaliknya tidak mau mengakui kelebihan seseorang. Pemimpin macam apa itu, tidak ada yang bisa diambil contoh dari nya. Kami sebagai generasi muda menolak"
5,0,macet macetan perut kosong akhirnya mampir dahulu soto betawi (at gki pamulang) [pic] —
6,0,"Pernyataan paling mengganggu telinga malam ini keluar dr mulut Jubir Pemerintah Ali Mochtar Ngabalin: ""Pemerintah adalah representasi Tuhan di muka bumi."" Makin dekaden nalar demokrasi kita kalo pandangan begitu dibiarkan menguasai istana. Ternyata sama aja dg Pak Tua itu tuh."
7,1,"Masi belum move on dari poto poto ini. Ceritanya lagi nyobain face filter hengpong syanggih punya diajeng Astri Eka Pertiwi (gada orangnya, gausah dicari)"
8,1,"Dibalik kecemburuan,terselip rasa kasih sayang yg dalam. Maka dr itu,cemburu diperlukan dlm setiap hubungan,tetapi tetap dlm kadar yg wajar tentunya:)"
9,1,"Kalo udah sayang beneran itu mau dihadapkan sama cowok yang lebih tajir +++, ganteng +++, pinter +++, serba +++, dll itu pasti bakalan tetep ga mau berpindah"
10,1,"[USERNAME] Pagi juga mas nyaa, duhh jadi gaenak dapet ucapan met pagi dari netijen twitter. Wkwk btw dari kejauhan brp km nih? Alias darimana kota tempat tinggalmu? Wkwk"
11,0,"Efek pintu tol slipi arah semanggi ditutup, macet parah di sini. Pak polisi bukan ngatur malah jagain jalur busway [USERNAME] [USERNAME] [USERNAME] [URL]"
12,0,jangan shyok ya :d rw yalah ka jadi selama ini (⚙_◞) sudah lama kali -_- rw wkwk ganti klam
13,1,nonton hanya tidak-dapat tiket nih hana :) hem nanti malam sonichi bokuno taiyo nonton yu :) penasaran nih
14,1,"Melakukan hal yang sebenernya lo ngga suka, dengan happy hati, karena lo tau itu bikin pasangan lo bahagia...itu baru romantis."
15,1,bikin cake ulang tahun dan hasilnya bagus yeye :)
16,0,jadi pusing kana sirah na oge
17,1,"Jadi orang tua itu gitu ya. Mau anaknya seperti apa keadaannya tetap sayang banget, berjuang mati2an demi anak. Walopun capek pulang kerja masi aja pulangnya nanyain perkembangan anaknya."
18,1,Romantis itu MANIS lebih manis lagi kalo dilakuin orang tg kita SAYANG. Semua bakal terasa seneng dan berbunga bunga wkwk. Seperti ada ribuan kupu kupu terbang yg ada dii perut kalo lagi ada yg ngeromantisin gitu.
19,0,hari ini aku lelah
20,0,"Toh ya. Gue jelasin ke kalian kalau gue sayang dia karena dia sahabat gue, lu ngga pada percaya juga kan? Lu pada ngira kalau gue tu cinta sama dia. Hei, plis di-highlight kalau sayang tu ga melulu soal cinta-cintaan."
21,1,"Mama takut putri manisnya jatuh lalu terluka. Tapi sadarkah kamu? Bahwa papa dengan yakin akan membiarkanmu, menatapmu dan menjagamu mengayuh sepeda dengan seksama karena dia tau putri kecilnya PASTI BISA."
22,1,oalah pantas iyanih dek kan lagi promosi sambil olahraga main skiping kak kok bisa murah
23,0,Kalo ngga terpaksa juga ngga bakal gue naik busway gembel bleketek. Eek nih!!
24,0,"Sekelas emerson masih gitu kelakuannya, apa lagi klo bukan kerna kebencianya, sehingga lupa klo yg diketawain ternyata junjungannya...son...son..gagal maning"
25,0,sudah ah jangan sedih katanya strong sel -adit
26,1,cowok ganteng adalah yang pergi solat jum'at selamat solat jum'at my someone d
27,0,lumayan loh ini cuci sendirian 
28,1,"Dari semua pakaian yang ada di pasar Bayangkara (pasar senggol), aku memilih 1 pakaian saja. Jika di beri 2 akan saya gunakan. Jika di beri 3 tetap saya gunakan. Jika di beri 4 saya bersyukur untuk di gunakan."
29,1,"Gara gara kapan hari ngopi trus dengerin lagu lagu jadul jaman SD kaya tangga, ello, andien, audy. Trus skrg bikin playlist lagu lagi yg seangkatan 2004-2005."
30,1,"Katherine sofia setelah bener"" ngrasa capek bgt sma kerjaan, minimal seminggu sekali harus bgt ngasi reward ke diri sendiri. semacam me time dg memanjakan diri~"
31,1,"waktu itu awal kelas 11, cuma karna duduk sebangku, gua bisa langsung deg degan dan jatuh hati selama 10menit, sama orang yang dulunya guaa kira freaky abis."
32,1,amin mokasih yo enak :) selamat ulang tahun da ade sukses selalu :d
33,1,"Lebih asik kl ngomongin keberhasilan pemerataan pembangunan, pencapaian ekonomi, dibandingkan ngomongin keburukan calon sebelah ataupun keburukan si gubernur A atau B.."
34,0,[USERNAME] [USERNAME] Banyak yg tolol di didik untuk jadi kacung ..mengerti ibadah puasa tapi takut laparrrr!!!. Cara Rakyat memiliki dan menikmati tanahnya hanya lewat liang lahatnya ...!!
35,0,"SAYA PALING TIDAK SUKA DENGAN ORANG SOMBONG. SAYA SAJA YANG TANAHNYA 7 HEKTAR, ASET BERLIMPAH, SALDO DI REKENING 12 DIGIT, ITUPUN (BARU SATU REKENING) DAN PUNYA BANYAK INVESTASI DI DUBAI DIAM-DIAM SAJA."
36,1,"Pemimpin sejati RT ""@anesasembiring: love you jokowi !"""
37,0,"[USERNAME] tolong dijelaskan maksud dari "" Hal ini dibuktikan dengan penggunaan resi pada transaksi Anda yang telah digunakan pada transaksi lain (transaksi Anda dengan supplier Anda). "" saya rasa tidak mungkin ada double resi..."
38,1,pa kbar sehat :-)
39,0,lama sekali njir- -
