vocab,count
yang,967
dan,869
di,854
yg,795
aku,597
ini,596
ya,560
itu,552
kamu,467
sama,467
saya,435
tidak,359
bisa,358
ga,355
mau,349
lagi,347
tapi,334
dia,325
kita,325
sayang,322
orang,315
aja,301
juga,298
dari,294
sudah,280
ke,276
jadi,273
cinta,266
kalo,257
dengan,230
apa,223
buat,223
gue,223
gak,219
udah,214
untuk,207
selamat,205
masih,203
banget,200
sih,200
nya,194
kalau,190
selalu,181
saja,180
jangan,177
kan,171
karena,158
-,153
hari,153
semua,152
banyak,150
terus,148
sekali,146
akan,143
lebih,143
bikin,142
suka,139
d,139
baik,138
lain,136
si,134
adalah,131
gw,130
ku,129
harus,129
mereka,127
anak,125
semoga,125
tau,125
--,123
nih,122
salah,122
bukan,120
kasih,120
tp,119
punya,119
pernah,119
lah,119
deh,118
tak,117
cuma,117
kok,116
baru,113
bgt,111
sendiri,107
dulu,106
pada,105
sangat,105
pas,105
tuh,104
kaya,100
atau,100
kenapa,99
hanya,99
dalam,98
pak,97
haha,97
malah,95
gitu,95
enak,95
sakit,94
hati,93
gua,93
sekarang,93
allah,93
kali,92
satu,92
lu,88
lama,87
biar,87
pasti,87
saat,87
mah,87
pagi,86
paling,85
makan,84
memang,84
iya,83
kalian,82
pake,82
sampai,81
makin,81
seperti,79
begitu,78
menjadi,78
bilang,77
semangat,77
keren,77
at,77
terima,76
sampe,76
klo,76
malam,76
waktu,76
kau,75
tahun,75
emang,75
org,75
cantik,73
yah,73
gini,72
wkwk,72
hidup,71
jam,71
you,71
jd,71
padahal,70
belum,70
kami,69
indonesia,69
dong,69
w,67
bahagia,67
i,66
nanti,66
rumah,66
gimana,66
tahu,64
mungkin,64
ketika,63
diri,63
udh,63
pengen,62
jika,62
lo,62
ternyata,61
jg,61
bagus,61
tuhan,61
lalu,61
sm,60
tidur,60
rasa,59
3,58
hal,58
hahaha,58
mana,57
eh,57
langsung,57
pulang,57
mas,56
anda,56
krn,55
coba,55
alhamdulillah,55
pakai,55
dapat,55
ah,55
jatuh,54
jalan,54
tempat,53
parah,53
minta,53
apalagi,53
sy,52
nonton,52
oleh,51
a,51
main,51
sering,50
happy,50
tanpa,50
dgn,50
masa,50
liat,50
dunia,49
merasa,49
siapa,49
ingin,49
macet,49
dr,48
bener,48
setiap,48
abis,48
akhirnya,48
negara,47
kak,47
biasa,47
p,47
kurang,47
karna,47
bulan,47
sehat,46
masuk,46
ngga,46
to,46
tiap,46
cewek,45
kerja,45
semakin,45
tdk,45
belajar,45
jauh,44
papa,44
tadi,44
the,44
rt,43
lg,43
makasih,43
foto,43
mulai,43
susah,43
temen,43
kata,42
setelah,42
via,42
ibu,42
kayak,42
naik,42
teman,42
bapak,42
siang,41
2,41
lagu,41
trus,41
rasanya,41
tetap,41
baca,41
pun,40
mati,40
beli,40
love,40
keluar,40
tua,40
ketemu,40
bersama,40
depan,40
presiden,40
apapun,40
marah,39
kepada,39
ama,39
bakal,39
atas,38
n,38
puasa,38
masalah,38
tetep,38
kek,38
lupa,38
of,38
takut,38
1,38
pertama,38
penting,38
hehe,37
sambil,37
sedih,37
buka,37
sini,37
sok,37
yaa,36
bagi,36
cari,36
uang,36
makanya,36
jokowi,36
and,36
sebagai,36
rakyat,36
mu,35
disini,35
pacar,35
oke,35
my,35
nggak,35
tentang,35
balik,34
http,34
kalah,34
jelas,34
indah,34
sukses,34
bahwa,34
benar,34
mata,34
utk,33
amat,33
senyum,33
katanya,33
u,33
saling,32
datang,32
ngerti,32
kuat,32
kangen,32
terbaik,32
jahat,32
sekolah,32
besar,31
pic,31
y,31
telah,31
luar,31
film,31
dah,31
dimana,31
para,31
kadang,31
dg,31
nah,31
seneng,31
soal,31
alhamdulilah,31
air,31
ganti,31
panjang,31
perlu,30
membuat,30
tolong,30
tu,30
ikut,30
usah,30
kembali,30
keluarga,30
cara,30
telkomsel,30
ulang,30
sahabat,30
so,29
kapan,29
sore,29
ka,29
besok,29
boleh,29
selama,29
ngomong,29
sdh,29
terimakasih,29
percaya,29
bareng,28
kl,28
penuh,28
no,28
islam,28
cerita,28
umur,28
sadar,28
agar,28
amin,28
doang,27
alay,27
bodoh,27
s,27
kecil,27
jgn,27
me,27
manusia,27
sabar,27
mama,27
jakarta,27
sumpah,27
pokoknya,27
namanya,27
vallen,26
sedikit,26
seorang,26
dapet,26
sampah,26
manis,26
gt,26
aneh,26
diam,26
seseorang,26
maka,26
bersyukur,26
man,26
beliau,26
lulus,26
ia,26
lucu,25
maaf,25
ngapain,25
sma,25
segala,25
nyaman,25
up,25
jawab,25
beda,25
otak,25
mencintai,24
lewat,24
bicara,24
sibuk,24
baju,24
indosat,24
cepat,24
lebaran,24
cuman,24
serius,24
kota,24
perempuan,24
begini,24
twitter,24
mikir,24
memberikan,24
gk,24
wa,24
loh,24
oh,24
kenal,24
bagaimana,24
with,23
apakah,23
trs,23
agak,23
mending,23
mandi,23
kayaknya,23
bahkan,23
kantor,23
dek,23
wanita,23
skrg,23
pelecehan,23
4,23
wkwkwk,23
kemarin,22
wah,22
semuanya,22
sebelum,22
kesal,22
benci,22
mulu,22
dibilang,22
diem,22
demi,22
namun,22
suara,22
kelas,22
terlalu,22
cowok,22
walaupun,22
mbak,22
malu,22
in,22
bila,22
butuh,22
tambah,22
habis,22
dikasih,21
sedang,21
berani,21
nangis,21
berarti,21
pula,21
ko,21
asik,21
soalnya,21
dasar,21
keras,21
biasanya,21
cukup,21
duit,21
sebuah,21
politik,21
niat,21
bro,21
min,21
gagal,21
giliran,21
terhadap,20
akun,20
agama,20
gila,20
orang2,20
berapa,20
secara,20
ye,20
muka,20
mohon,20
sexual,20
bs,20
entah,20
pikir,20
males,20
pusing,20
nasi,20
bla,20
tanya,20
acara,20
duduk,20
pemimpin,20
birthday,20
5,19
bang,19
kena,19
ig,19
blm,19
dua,19
suatu,19
doi,19
steel,19
kaga,19
berusaha,19
jaman,19
kaki,19
gabisa,19
terjadi,19
it,19
on,19
muda,19
bawa,19
melihat,19
ni,19
kaka,19
2018,19
lancar,19
emg,19
tersenyum,19
ganteng,19
mulut,19
g,19
orangnya,19
doa,19
dpt,19
minum,19
mantan,19
muncul,19
beberapa,19
loe,19
mampu,18
senang,18
tgl,18
terakhir,18
gara2,18
memilih,18
lgsg,18
ngerasa,18
seru,18
pergi,18
sebenarnya,18
yuk,18
bangsa,18
termasuk,18
plastik,18
status,18
lho,18
melakukan,18
cewe,18
kabar,18
lihat,18
alah,18
kemudian,18
jiwa,18
warga,18
peluk,18
tangan,17
yakin,17
bangun,17
program,17
mencintaimu,17
kecewa,17
bu,17
harga,17
kuliah,17
selesai,17
jumat,17
berubah,17
tinggal,17
sd,17
awal,17
macam,17
buku,17
nanya,17
pihak,17
mobil,17
daripada,17
jelek,17
ibadah,17
partai,17
tinggi,17
ngeliat,17
sekedar,17
bahasa,17
perasaan,16
kasihan,16
berasa,16
intinya,16
paket,16
nama,16
duh,16
ih,16
minggu,16
hp,16
kesempatan,16
btw,16
mba,16
tol,16
serta,16
alasan,16
rindu,16
uda,16
beneran,16
lbh,16
kehidupan,16
pasangan,16
dikit,16
enggak,16
hukum,16
10,16
for,16
this,16
mesti,16
kasus,16
emosi,16
hrs,16
nyari,16
gamau,16
kasian,16
yak,16
pdhl,16
korban,16
hahahaha,16
inget,16
bayar,16
menurut,16
nomor,16
hasil,16
walau,16
demen,16
urusan,16
masyarakat,15
asli,15
bunuh,15
dm,15
busway,15
sempet,15
menerima,15
harapan,15
ketawa,15
sejak,15
ayah,15
jujur,15
korupsi,15
pribadi,15
badan,15
tsb,15
dll,15
aduh,15
perhatian,15
kerjaan,15
panas,15
k,15
dpr,15
nikah,15
kyk,15
sebenernya,15
situ,15
drama,15
swt,15
mirip,15
hai,15
berkata,15
tugas,15
lebay,15
koruptor,15
tepat,15
sesama,15
cont,15
mimpi,15
krl,15
sombong,15
mencari,15
anaknya,15
ampe,15
denger,15
berjalan,15
harassment,15
mantap,15
pancasila,15
duluan,14
tanggal,14
menit,14
hebat,14
kosong,14
tenang,14
itulah,14
ingat,14
asal,14
hapy,14
pemerintah,14
sesuatu,14
bau,14
berbagi,14
kaum,14
berat,14
kedua,14
ngobrol,14
sholat,14
bunda,14
dirimu,14
gatau,14
menang,14
cc,14
rame,14
sbg,14
kakak,14
berbuka,14
yaudah,14
beri,14
b,14
thanks,14
salam,14
elu,14
arah,14
baby,14
chat,14
berkah,14
lakukan,14
akhir,14
setan,14
all,13
sepi,13
o,13
justru,13
speak,13
keliatan,13
betapa,13
6,13
nunggu,13
gaya,13
buruk,13
solo,13
is,13
best,13
sana,13
masjid,13
deket,13
ayo,13
bener2,13
malem,13
cepet,13
lanjut,13
x,13
jaga,13
supaya,13
kece,13
tertawa,13
ma,13
ilmu,13
usaha,13
pilihan,13
negeri,13
rezeki,13
kmrn,13
meskipun,13
tiba,13
bank,13
tetapi,13
oldmoneygakngerasain,13
day,13
dlm,13
malas,13
ramadhan,13
jadinya,13
gausah,13
kepala,13
tanah,13
lelah,13
na,13
pd,13
bingung,13
tiket,13
berharap,13
bentuk,12
knp,12
teh,12
hampir,12
video,12
berada,12
sekalian,12
jual,12
suami,12
data,12
peduli,12
nyinyir,12
hmm,12
cowo,12
sebelumnya,12
why,12
ndak,12
merasakan,12
tentu,12
bukti,12
segera,12
pilih,12
gmn,12
ngerasain,12
untung,12
menyenangkan,12
hah,12
an,12
ngakak,12
tujuan,12
maha,12
nyata,12
bohong,12
kalimat,12
https,12
harusnya,12
kuota,12
kemaren,12
kirim,12
aamiin,12
tengah,12
isi,12
maunya,12
indahnya,12
lagunya,12
tutup,12
much,12
menunggu,12
hak,12
be,12
tukang,12
heran,12
capek,12
mie,12
anggota,12
lumayan,12
amp,12
hubungan,12
uduk,12
mudah,12
wajar,12
kopi,12
menjalankan,12
murah,12
sialan,12
berbeda,12
disuruh,12
dengerin,12
msh,12
make,12
gede,12
apan,11
merah,11
bandung,11
ky,11
istri,11
om,11
ali,11
terasa,11
kereta,11
slalu,11
dirinya,11
setuju,11
sinyal,11
terutama,11
mak,11
bong,11
galau,11
pln,11
not,11
romantis,11
jawa,11
ceritanya,11
mendukung,11
gapapa,11
makanan,11
sesuai,11
zaman,11
cm,11
or,11
kabur,11
putih,11
kesehatan,11
hehehe,11
langit,11
anjir,11
diajak,11
ambil,11
cemburu,11
bocor,11
tiada,11
jago,11
payah,11
kebahagiaan,11
najis,11
kesini,11
pintar,11
seluruh,11
caranya,11
bakalan,11
akhirat,11
c,11
sebaliknya,11
ngatain,11
please,11
kampret,11
sungguh,11
kudu,11
time,11
gubernur,11
diberi,11
daftar,11
11,11
bekerja,11
jogja,11
tulus,11
cie,11
anjing,11
orangtua,11
dianggap,11
koko,11
pemain,10
kampung,10
waktunya,10
pikiran,10
gada,10
kamar,10
memiliki,10
turun,10
rajin,10
berfikir,10
siap,10
solat,10
barang,10
disaat,10
guys,10
menikmati,10
betul,10
bali,10
kasar,10
